employment_category,gender,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Employer,Total,32.4,31.9,36.3,40.5,47.2,52.9,63.8,66.8,73.2,78.0,81.2
Employer,Mujeres,28.6,30.0,37.6,42.5,46.2,51.8,61.7,68.8,74.6,81.3,80.0
Employer,Hombres,33.6,32.6,35.8,39.7,47.6,53.3,64.6,66.0,72.7,76.8,81.6
Independent worker,Total18.4,18.9,20.2,20.5,24.8,30.4,35.5,42.4,49.1,58.4,63.8
Independent worker,Mujeres,15.8,16.3,18.4,18.6,23.1,28.6,34.6,41.7,49.7,59.6,63.9
Independent worker,Hombres,20.5,21.0,21.7,22.0,26.2,31.7,36.2,43.1,48.7,57.4,63.7
Salaried,Total,53.7,55.6,56.3,57.1,63.3,67.9,72.7,76.6,81.4,85.2,88.2
Salaried,Mujeres,59.1,62.1,62.6,63.9,69.0,73.0,76.7,79.9,84.1,88.4,90.2
Salaried,Hombres,50.7,51.9,52.7,53.2,59.9,64.8,70.3,74.7,79.9,83.4,87.1
Unpaid relative worker,Total,23.5,22.0,22.5,22.4,27.0,28.4,31.9,38.0,45.2,54.7,57.0
Unpaid relative worker,Mujeres,17.8,16.8,17.0,16.7,20.7,22.1,24.9,30.6,34.8,44.5,49.1
Unpaid relative worker,Hombres,35.8,33.4,33.9,35.7,42.3,43.6,47.4,53.8,64.2,74.2,73.1
