fps,region,Gender,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Nacional,Total,38.2,39.2,40.2,40.9,45.5,48.7,52.5,57.1,64.5,71.8,72.7
0,Nacional,Mujeres,34.6,36.0,37.4,38.5,42.6,45.9,49.9,54.5,62.3,70.1,71.1
0,Nacional,Hombres,41.6,42.4,43.1,43.2,48.3,51.5,55.2,59.7,66.8,73.5,74.2
1,Amazonas,Total,18.2,16.8,16.6,19.7,21.8,25.5,26.1,33.6,45.1,55.1,53.9
1,Amazonas,Mujeres,17.7,16.0,14.2,18.5,20.9,24.0,23.6,32.1,44.4,53.7,54.11
1,Amazonas,Hombres,18.7,17.5,18.7,20.9,22.5,26.8,28.4,35.0,45.7,56.3,53.7
2,Ancash,Total,33.1,33.7,33.7,36.5,40.1,41.9,48.0,56.2,63.0,70.5,71.8
2,Ancash,Mujeres,29.0,30.8,29.3,34.0,36.1,37.3,44.1,53.4,60.2,68.1,69.3
2,Ancash,Hombres,37.1,36.5,38.0,38.9,43.9,46.3,51.8,58.9,65.6,72.8,74.3
3,Apurímac,Total,22.4,20.6,19.1,21.0,22.0,22.0,19.2,31.6,40.5,57.0,55.7
3,Apurímac,Mujeres,18.9,17.8,18.1,19.5,20.6,20.2,18.4,28.9,34.1,50.9,51.0
3,Apurímac,Hombres,25.6,23.3,20.2,22.4,23.3,23.6,19.9,34.1,46.6,62.6,60.1
4,Arequipa,Total,45.0,44.9,46.1,45.4,50.1,53.5,57.3,66.1,74.3,79.9,81.0
4,Arequipa,Mujeres,38.5,39.8,39.6,41.9,45.2,49.4,53.6,63.1,72.1,77.7,80.0
4,Arequipa,Hombres,51.5,50.0,52.4,48.9,55.0,57.9,61.1,69.2,76.6,82.3,82.1
5,Ayacucho,Total,23.9,24.1,23.9,26.6,29.2,28.3,32.8,36.9,43.4,59.9,58.5
5,Ayacucho,Mujeres,21.2,21.9,21.4,23.7,25.7,25.3,28.6,34.3,39.4,56.6,54.6
5,Ayacucho,Hombres,26.4,26.2,26.4,29.3,32.5,31.2,36.6,39.4,47.2,63.0,62.0
6,Cajamarca,Total,17.6,16.8,15.3,15.2,19.5,23.3,25.6,31.1,44.8,53.3,50.4
