fps,Region,Age,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Total,Total,38.2,39.2,40.2,40.9,45.5,48.7,52.5,57.1,64.5,71.8,72.7
0,Total,6-11 yo,29.9,31.7,31.6,30.3,32.7,32.8,32.9,35.5,55.6,72.5,55.8
0,Total,12-18 yo,60.8,61.9,62.5,63.8,67.7,68.5,70,73.1,79.7,88.8,85.9
0,Total,19-24 yo,64.3,66.2,68.9,68.4,75.1,78.6,81.6,85.4,87.1,90.7,92.5
0,Total,25-40 yo,39.3,41.1,43.8,44.8,51.7,57.1,64.2,70.5,75.4,82.3,85.5
0,Total,41-59 yo,24.2,24.5,25.2,26.7,31.5,36.9,42.1,48.5,55.9,62.4,68.8
0,Total,60-más yo,7.9,8.5,8.8,10.3,11.8,14,16.9,21.2,25.5,29.2,34.5
0,Mujeres,Total,34.6,36,37.4,38.5,42.6,45.9,49.9,54.5,62.3,70.1,71.1
0,Mujeres,6 a 11 años,26.2,29.3,28.8,28.8,30.9,30.7,30.7,34,55.3,72.7,56.9
0,Mujeres,12 a 18 años,58.3,60.2,61.4,62.7,65.8,66.9,68.8,72.1,80.1,89.4,86.5
0,Mujeres,19 a 24 años,61.3,63.1,66.7,65.4,73.5,77,79.9,83.8,86.6,90.4,92.4
0,Mujeres,25 a 40 años,35.2,37.4,40.5,42.6,48.3,54.4,61.1,67.8,73.7,81.6,84.7
0,Mujeres,41 a 59 años,21.3,21.6,22.5,24.5,29,33.8,39.4,45.6,52.2,59.9,66.5
0,Mujeres,60 y más años,5.2,5.8,6.5,7.9,8.8,11,13.9,18,21.6,25.1,30.4
0,Hombres,Total,2.4,43.1,43.2,48.3,51.5,55.2,59.7,66.8,73.5,74.2,
0,Hombres,6 a 11 años,33.5,34.1,34.3,31.8,34.4,34.7,35,37,55.9,72.2,54.7
0,Hombres,12 a 18 años,63.1,63.6,63.5,64.8,69.4,70.1,71.1,74.1,79.3,88.3,85.4
0,Hombres,19 a 24 años,67.2,69.2,70.9,71.3,76.7,80.1,83.2,87.1,87.5,90.9,92.5
0,Hombres,25 a 40 años,43.3,44.5,47.1,47,55.1,59.7,67.2,73.2,77.1,83,86.4
0,Hombres,41 a 59 años,27.1,27.5,27.9,28.9,34.1,40.1,44.9,51.5,59.7,64.9,71.1
0,Hombres,60 y más años,10.8,11.5,11.4,13,15,17.3,20.3,24.7,30,33.9,39.2
