fps,Region,Education level,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Total,Total,38.2,39.2,40.2,40.9,45.5,48.7,52.5,57.1,64.5,71.8,72.7
0,Total,Sin nivel/inicial/primaria 1/,15.5,16.3,16.1,15.9,18,19.1,20.4,24.3,36.3,45.8,42.8
0,Total,Secundaria,39.1,40.1,41.8,42.5,48.1,53.1,58.3,63.8,70.4,79.2,81.7
0,Total,Superior no universitaria,59.4,62.3,64.9,65.9,73.8,77,81.8,86.1,88,92.8,94.4
0,Total,Superior universitaria 2/,83.3,84.2,85,85.9,88.9,90.6,92.2,93.7,95.2,96.3,97
0,Mujeres,Total,34.6,36,37.4,38.5,42.6,45.9,49.9,54.5,62.3,70.1,71.1
0,Mujeres,Sin nivel/inicial/primaria 1/,12.2,13.2,12.9,13.3,15.2,16.4,17.7,21.4,33.1,43.1,40.8
0,Mujeres,Secundaria,37.5,38.7,40.6,41.4,46.5,51.8,57.7,63,70.1,80.1,82.3
0,Mujeres,Superior no universitaria,55.6,59.6,62.4,64.3,72.5,75.9,80.9,85.1,88.4,92.9,94.9
0,Mujeres,Superior universitaria 2/,82,83.5,85.2,86.6,89.3,90.9,92.5,94.3,95.6,96.6,97.2
0,Hombres,Total,41.6,42.4,43.1,43.2,48.3,51.5,55.2,59.7,66.8,73.5,74.2
0,Hombres,Sin nivel/inicial/primaria 1/,19.4,19.9,19.8,19,21.3,22.3,23.8,27.7,40.1,49.2,45.3
0,Hombres,Secundaria,40.4,41.2,42.7,43.4,49.5,54.2,58.8,64.6,70.7,78.4,81.2
0,Hombres,Superior no universitaria,63.4,65.1,67.6,67.6,75.2,78.3,82.7,87.2,87.6,92.8,93.9
0,Hombres,Superior universitaria 2/,84.4,84.8,84.8,85.3,88.4,90.3,91.9,93.2,94.8,96,96.8
