fps,Total,Frecuencia de uso,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Total,Una vez al día,39.5,46.4,49.6,51.8,60.1,68.5,73.9,77.4,84.7,90.5,90
0,Total,Una vez a la semana,51.7,46.4,43.8,42.7,35.2,28.1,23.3,20.5,14,8.8,9.2
0,Total,Una vez al mes,8.4,6.7,6.2,5.2,4.5,3.2,2.6,2,1.2,0.7,0.7
0,Total,Cada 2 meses o más,0.5,0.5,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0,0
0,Mujeres,Una vez al día,39,45.9,49.3,52,60.3,68.2,73.9,77.2,85.3,90.6,90.1
0,Mujeres,Una vez a la semana,51.8,46.5,43.8,42.2,34.9,28.3,23.3,20.4,13.4,8.7,9.2
0,Mujeres,Una vez al mes,8.7,7.1,6.5,5.6,4.6,3.3,2.7,2.2,1.2,0.6,0.7
0,Mujeres,Cada 2 meses o más,0.6,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0
0,Hombres,Una vez al día,39.9,46.8,49.8,51.6,59.9,68.7,73.9,77.6,84.1,90.5,90
0,Hombres,Una vez a la semana,51.6,46.3,43.8,43.1,35.4,28,23.4,20.5,14.6,8.8,9.3
0,Hombres,Una vez al mes,8.1,6.5,6,5,4.5,3.1,2.5,1.8,1.2,0.7,0.7
0,Hombres,Cada 2 meses o más,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0,0
